text,service,food,anecdotes/miscellaneous,price,ambience
but the staff was so horrible to us,1,0,0,0,0
to be completely fair the only redeeming factor was the food which was above average but couldnt make up for all the other deficiencies of teodora,0,1,1,0,0
the food is uniformly exceptional with a very capable kitchen which will proudly whip up whatever you feel like eating whether its on the menu or not,0,1,0,0,0
where gabriela personaly greets you and recommends you what to eat,1,0,0,0,0
for those that go once and dont enjoy it all i can say is that they just dont get it,0,0,1,0,0
not only was the food outstanding but the little perks were great,1,1,0,0,0
it is very overpriced and not very tasty,0,1,0,1,0
our agreed favorite is the orrechiete with sausage and chicken usually the waiters are kind enough to split the dish in half so you get to sample both meats,1,1,0,0,0
the bagels have an outstanding taste with a terrific texture both chewy yet not gummy,0,1,0,0,0
nevertheless the food itself is pretty good,0,1,0,0,0
ive noticed megadeth mr scruff st germain traditional vietnamese songs black sabbath jayz and daft punk all being played,0,0,0,0,1
they did not have mayonnaise forgot our toast left out ingredients ie cheese in an omelet below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it,0,1,0,0,0
it took half an hour to get our check which was perfect since we could sit have drinks and talk,1,0,0,0,0
the design and atmosphere is just as good,0,0,0,0,1
he has visited thailand and is quite expert on the cuisine,0,1,0,0,0
i would definitely recommend marys and am making it one of my regular neighborhood haunts,0,0,1,0,0
the pizza is the best if you like thin crusted pizza,0,1,0,0,0
my girlfriend and i stumbled onto this hopping place the other night and had a great time,0,0,1,0,0
he cant help theyre bought up so fast,0,0,1,0,0
secondly on this night the place was overwhelmed by upper east side ladies perfume,0,0,0,0,1
i have eaten here a handful of times for no reason besides sheer convenience,0,0,1,0,0
obviously run by folks who know a pie,1,0,0,0,0
we were very disappointed,0,0,1,0,0
it is definitely special and affordable,0,0,1,1,0
i really liked this place,0,0,1,0,0
i will be going back very soon,0,0,1,0,0
all the money went into the interior decoration none of it went to the chefs,0,1,0,0,1
the seats are uncomfortable if you are sitting against the wall on wooden benches,0,0,0,0,1
i asked for seltzer with lime no ice,0,1,0,0,0
it was pretty inexpensive too,0,0,0,1,0
will not be back,0,0,1,0,0
dont go aloneeven two people isnt enough for the whole experience with pickles and a selection of meats and seafoods,0,1,0,0,0
my suggestion is to eat family style because youll want to try the other dishes,0,1,0,0,0
best of all is the warm vibe the owner is super friendly and service is fast,1,0,0,0,1
this isnt a value joint,0,0,0,1,0
faans got a great concept but a little rough on the delivery,1,0,1,0,0
from the incredible food to the warm atmosphere to the friendly service this downtown neighborhood spot doesnt miss a beat,1,1,0,0,1
great food at reasonable prices makes for an evening that cant be beat,0,1,0,1,0
look foward to trying the ruben upon returning,0,0,1,0,0
the only other steakhouse that seems to hold a candle to roths is the strip house,0,0,1,0,0
we usually go to the chart house to celebrate a birthday or anniversary,0,0,1,0,0
this little place has a cute interior decor and affordable city prices,0,0,0,1,1
youll adore it,0,0,1,0,0
two words free wine,0,0,0,1,0
the price is reasonable although the service is poor,1,0,0,1,0
the quantity is also very good you will come out satisfied,0,1,0,0,0
i have been to roths twice and both times were very disappointing,0,0,1,0,0
worth visiting the 1st ave spot because it is the original store,0,0,1,0,0
i stumbled upon this second floor walkup two fridays ago when i was with two friends in town from la being serious sushi lovers we sat at the sushi bar to be closer to the action,0,0,1,0,0
ragas is a romantic cozy restaurant,0,0,0,0,1
the fried rice is amazing here,0,1,0,0,0
three courses  choices include excellent mussels puff pastry goat cheese and salad with a delicious dressing and a hanger steak au poivre that is out of this world,0,1,0,0,0
its a perfect place to have a amanzing indian food,0,1,0,0,0
the place is so cool and the service is prompt and curtious,1,0,0,0,1
at the end youre left with a mild broth with noodles that you can slurp out of a cup,0,1,0,0,0
i just wonder how you can have such a delicious meal for such little money,0,1,0,1,0
the food was delicious but do not come here on a empty stomach,0,1,0,0,0
the wine list is excellent,0,1,0,0,0
so garantuan that you cant fit them in a toaster,0,1,0,0,0
ive been to many thai restaurants in manhattan before and toons is by far the best thai food ive had except for my moms of course,0,1,0,0,0
they wouldnt even let me finish my glass of wine before offering another,1,0,0,0,0
i highly recommend the sophia pizza,0,0,1,0,0
whem asked we had to ask more detailed questions so that we knew what the specials were,1,0,0,0,0
this is a consistently great place to dine for lunch or dinner,0,0,1,0,0
nice atmosphere the service was very pleasant and the desert was good,1,1,0,0,1
all the people that i bring there go back on their own and bring their friends,0,0,1,0,0
after really enjoying ourselves at the bar we sat down at a table and had dinner,0,0,1,0,0
fabulous service fantastic food and a chilled out atmosphere and environment,1,1,0,0,1
not what i wanted to hear,0,0,1,0,0
try the lasagnette appetizer,0,1,0,0,0
pricey but worth a try at least once,0,0,1,1,0
ive been there a few times and i usually end up sitting next to some pretty odd people,0,0,1,0,0
i liked the beer selection,0,1,0,0,0
great food good size menu great service and an unpretensious setting,1,1,0,0,1
go here for a romantic dinner but not for an all out wow dining experience,0,0,1,0,0
cant wait to go back,0,0,1,0,0
i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds,0,0,1,0,0
wine list selection is good and winebytheglass was generously filled to the top,0,1,0,0,0
with the great variety on the menu  i eat here often and never get bored ,0,1,0,0,0
the menu is very limited  i think we counted 4 or 5 entrees,0,1,0,0,0
if you are a carnivore come hungry and you will leave more satisfied than you have ever been,0,0,1,0,0
the menu is limited but almost all of the dishes are excellent,0,1,0,0,0
not too crazy about their sake martini,0,1,0,0,0
great bagels spreads and a good place to hang out in,0,1,1,0,0
the service varys from day to day sometimes theyre very nice and sometimes not,1,0,0,0,0
whoever the jazz duo was they were on point,0,0,0,0,1
one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests,1,0,0,0,0
this place is a great bargain,0,0,0,1,0
we happened upon this place purely by accident and were pleased with the results,0,0,1,0,0
unfortunately the food is outstanding but everything else about this restaurant is the pits,0,1,1,0,0
deff recimmend bukhara they also have opened two new locations guess ill try them out,0,0,1,0,0
we always have a delicious meal and always leave feeling satisfied,0,1,0,0,0
dip the ingredients in with your chopsticks swirl them around and eat,0,1,0,0,0
first went here to enjoy their garden terrace,0,0,0,0,1
my husbands was perfect my was well done and dry,0,1,0,0,0
everyone i have spoken too there is super friendly helpful and willing to the extra mile for a customer,1,0,0,0,0
the pizza was pretty good and huge,0,1,0,0,0
sapphire is the only indian restaurant i go to when im in nyc,0,0,1,0,0
the cuisine from what ive gathered is authentic taiwanese though its very different from what ive been accustomed to in taipei,0,1,0,0,0
i heartily recommend,0,0,1,0,0
heartland brewery is by far one of the best places in nyc to make new friends and catch up with old ones,0,0,1,0,0
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded,0,0,0,0,1
they are often crowded on the weekends but they are efficient and accurate with their service,1,0,0,0,1
all my coworkers were amazed at how small the dish was,0,1,0,0,0
the atmosphere is unheralded the service impecible and the food magnificant,1,1,0,0,1
we ordered the special grilled branzino that was so infused with bone it was difficult to eat,0,1,0,0,0
the wait staff is friendly and the food has gotten better and better,1,1,0,0,0
this place which is only a few months old is perhaps queens biggest secret,0,0,1,0,0
it may be a bit packed on weekends but the vibe is good and it is the best french food you will find in the area,0,1,0,0,1
this place is so much fun,0,0,1,0,0
i was glad i did,0,0,1,0,0
right off the l in brooklyn this is a nice cozy place with good pizza,0,1,0,0,1
ive never been treated so rudely,1,0,0,0,0
ill be back soon,0,0,1,0,0
le pere pinard has a 15 pretheater menu that is outstanding,0,1,0,0,0
went inside and i started to get excited,0,0,1,0,0
i also ordered for delivery and the restaurant forgot half the order,1,0,0,0,0
our server checked on us maybe twice during the entire meal,1,0,0,0,0
however it is jus too good to not praise it,0,0,1,0,0
we have been to montparnasse many times and return often for good reason,0,0,1,0,0
the strong scents coming from the left and right of me negatively affected my taste buds,0,0,1,0,0
we had the lobster sandwich and it was fantastic,0,1,0,0,0
its somewhere you can eat and be happy,0,0,1,0,0
if you wrote a bad review its because you dont understand what raos is all about,0,0,1,0,0
had we been stalling i could understand where they were coming from but we had been there less than an hour and they hadnt even brought us a check yet,1,0,0,0,0
but overall i give it a 10,0,0,1,0,0
though the spider roll may look like a challenge to eat with soft shell crab hanging out of the roll it is well worth the price you pay for them,0,1,0,1,0
deep fried skewers are good and still rare to find in nyc,0,1,0,0,0
i have tried to make reservations but both times the hostess didnt have my name,1,0,0,0,0
i also recommend the rice dishes or the different varieties of congee rice porridge,0,1,0,0,0
their tuna tartar appetizer is to die for,0,1,0,0,0
this was one of the best restaurants ive ever been to,0,0,1,0,0
this restaurant used to be pretty decent,0,0,1,0,0
an oasis of refinement  food though somewhat uneven often reaches the pinnacles of new american fine cuisine  chefs passion and kitchens precise execution is most evident in the fish dishes and soups,0,1,0,0,0
if you love wine and cheese and delicious french fare youll love artisanal,0,1,0,0,0
i love indian food and consider myself to be quite an expert on it,0,1,0,0,0
some baby pizzas get their wish,0,1,0,0,0
plenty of choices to make your own creation,0,1,0,0,0
it was tiny and i felt like i was eating in someones living room,0,0,0,0,1
i was there on sat,0,0,1,0,0
overall a oh ya even though there is waiting it is deff worth it,1,0,1,0,0
the lava cake dessert was incredible and i recommend it,0,1,0,0,0
vt is what baby pizzas hope to be when they grow up,0,0,1,0,0
from the terrible service to the bland food not to mention the unaccommodating managers the overall experience was horrible,1,1,0,0,0
lahore is a great place to duck into latenight when you need some really tasty food on the cheap  youll likely have trouble finishing the amount of food you get for four dollars,0,1,0,1,0
the last time i went we were seated at a table in a corridor next to the kitchen,0,0,1,0,0
good selection of wines ranging from affordable to high end,0,1,0,1,0
nice restaurant overall with classic upscale italian decor,0,0,0,0,1
not impressed with the food,0,1,0,0,0
the entire dining experience was wonderful,0,0,1,0,0
the wine selection by the glass and bottle is wonderful and i always recommend that friends make a reservation if theyre going to be in town,0,1,1,0,0
service is highly refined our seating was delayed 35 minutes past our reservation and the maitre d apologized and regularly kept us apprised of progress,1,0,0,0,0
order the panang duck its fantastic,0,1,0,0,0
food is usually very good though ocasionally i wondered about freshmess of raw vegatables in side orders,0,1,0,0,0
other than the crappy service from two individuals its great,1,0,0,0,0
what more can you ask for,0,0,1,0,0
wondering who had the best deals we noticed a line had formed to wait for this one particular establishment,0,0,1,0,0
they have authentic indian at amazin prices,0,1,0,1,0
you are treated just like royality,1,0,0,0,0
theres nice and quiet small but enough for 6 or more,0,0,0,0,1
ambiance relaxed and stylish,0,0,0,0,1
ive never felt more unwelcome than last month at jimmys bronx cafe,0,0,1,0,0
luckily we saved room for the bbq salmon sea bass and crispy duck,0,1,0,0,0
yes they use fancy ingredients but even fancy ingredients dont make for good pizza unless someone knows how to get the crust right,0,1,0,0,0
looking from the outside in one would hesitate to enter this hole in the wall really thats what it is,0,0,0,0,1
and yes dal bukhara is so dam good and so are all the kababs,0,1,0,0,0
i look forward to eating here again,0,0,1,0,0
ive been coming here as a child and always come back for the taste,0,1,0,0,0
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price,0,1,0,1,1
a glass of leaping lizard a glass of prosecco and the mussels had everything happy,0,1,0,0,0
food was average and creme brulee was awful  the sugar was charred not caramelized and smelled of kerosene,0,1,0,0,0
the food always tastes fresh and served promptly,1,1,0,0,0
i know because i live nearby,0,0,1,0,0
the pizza here is delicious,0,1,0,0,0
my entire family was horrified,0,0,1,0,0
on a monthly basis my friends and i get together and have a girls night out,0,0,1,0,0
pizza and garlic knots are great as well i order from them quite often and the delivery is always super quick,1,1,0,0,0
for great chinese food nearby you have wu liang ye and grand sichuan just a block away,0,1,0,0,0
but who says murrays is anything about service,1,0,0,0,0
this place is really trendi but they have forgotten about the most important part of a  restaurant the food,0,1,1,0,0
i have never been disappointed in the red eye,0,0,1,0,0
hats off to the chef,0,1,0,0,0
this should have been done in a back room  away from customers,0,0,1,0,0
service could be improved but overall this is a place that understands the importance of little things the heavy black antiqueseeming teapot for one in the restaurant experience,1,0,1,0,0
glad you have the luxury to throw out paying customers,0,0,1,0,0
the pizza is delicious  they use fresh mozzarella instead of the cheap frozen shredded cheese common to most pizzarias,0,1,0,0,0
its an excellent place to relax and the food is one of the best in the city of new york,0,1,0,0,1
service is friendly and never had a problem walking in and getting a table,1,0,0,0,0
the atmosphere was crowded but it was a great bistrotype vibe,0,0,0,0,1
check it out,0,0,1,0,0
first off the waitress was completely unattentive the 2 times we saw herodd in a restaurant with 6 tables and got our order wrong,1,0,0,0,0
dont go,0,0,1,0,0
the food was bland oily,0,1,0,0,0
but they do,0,0,1,0,0
what is even better is that the prices are very affordable as well and the food is really good,0,1,0,1,0
the fish is fresh but the variety of fish is nothing out of ordinary,0,1,0,0,0
look i dont know if the people who wrote the reviews have ever been to a decent place please try someother places,0,0,1,0,0
suan has challenged this loyalty,0,0,1,0,0
our favorite meal is a pesto pizza the house salad and a good bottle of wine,0,1,0,0,0
and kruno the beverage manager is the best bartender i have yet to come across,1,0,0,0,0
ambiance and music funky which i enjoy,0,0,0,0,1
the food drinks and service are clearly among the best in the city,1,1,0,0,0
i went there in late afternoon for some bite size food and refleshment with my date,0,0,1,0,0
its a really great deal considering we got full off of four dollars,0,0,0,1,0
i understand the area and folks you need not come here for the romantic alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters  you come for the authentic foods the tastes the experiance,1,1,0,0,1
went with mommy the only person who could afford taking me here,0,0,1,0,0
my friends and i were on vacation in ny and was referred to chance by a friend,0,0,1,0,0
last time i went here the waitress didnt come back after taking our order,1,0,0,0,0
try the tandoori salmon,0,1,0,0,0
i am completely hooked on this place it is ridiculous,0,0,1,0,0
